Price,Close,High,Low,Open,Volume
Ticker,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST
Date,,,,,
2015-12-09,150.4779052734375,151.65482230661385,148.71251689623938,151.23449296227463,2941885
2015-12-10,149.3850860595703,150.7301454494089,148.2922269087561,149.72135732074847,2279129
2015-12-11,146.9471435546875,150.30977835993235,145.7702136763915,149.72131983450126,2419283
2015-12-14,146.6108856201172,149.63726234916416,146.27462724019418,147.95594479467917,2600325
2015-12-15,149.6372528076172,150.22571134867718,147.1152766367023,147.45153499518398,2620543
2015-12-16,149.6372528076172,150.81416988973717,148.88066508731637,149.55318180427972,3031670
2015-12-17,151.73892211914062,154.00869844407822,151.31859269498787,152.24332255909832,2267978
2015-12-18,148.04002380371094,150.5620002717303,147.11529396779625,150.47792925848873,2070695
2015-12-21,148.37628173828125,150.56199980137748,148.37628173828125,148.5444109368035,1605009
2015-12-22,145.8542938232422,149.38505802465795,145.6861646379242,149.38505802465795,1458594
2015-12-23,149.0487823486328,149.0487823486328,147.45152320497624,147.61966519820658,1252627
2015-12-28,147.8718719482422,150.30979006840815,147.28341337697273,149.72133149713872,1691277
2015-12-29,150.3938446044922,150.5619866157248,148.88066912287442,148.88066912287442,1150066
2015-12-30,149.6372528076172,151.15044107565296,149.30099444913554,150.81416988973717,1282311
2016-01-04,144.4251708984375,147.78780578395438,143.7526413558473,147.61967660516535,1861767
2016-01-05,145.09768676757812,147.2833915407312,143.66855681396189,145.93834540973688,811343
2016-01-07,143.5845184326172,144.17297699773326,137.86803631270118,142.4075884749504,4317684
2016-01-08,141.4828338623047,144.76139701450268,141.4828338623047,143.5844801976704,1698350
2016-01-11,140.89439392089844,142.07131089198907,139.80153511778116,140.47406459873278,1645009
2016-01-12,142.40757751464844,144.92955359455908,140.55813095486735,140.97846030151914,1985657
2016-01-13,142.32351684570312,145.1817512218339,141.7350583361978,144.34109254327387,1530953
2016-01-14,137.02735900878906,140.97845207116328,136.35482952792194,140.55812274905043,3084919
2016-01-15,134.75759887695312,137.69990447327334,133.07628139334156,137.44770428524473,3274201
2016-01-18,138.54055786132812,139.71747492340177,134.9257228457678,135.09385202214492,2743705
2016-01-19,141.65097045898438,142.5757000261879,140.1377824523931,140.4740535802089,3804078
2016-01-20,138.7086639404297,140.5581102274824,138.20426366785543,139.54932250976563,2764262
2016-01-21,137.6999053955078,140.3900108218162,136.85924664807177,139.54935207438015,3489015
2016-01-22,141.65097045898438,141.90317059798824,139.46525302419346,140.38998259139697,3781984
2016-01-25,143.92079162597656,143.92079162597656,140.9784856699595,142.407603140252,2364528
2016-01-26,146.2746124267578,146.61087077262746,141.31473127429524,142.15538996640305,1821743
2016-01-27,147.95591735839844,147.95591735839844,145.60207065311923,146.77900041947512,2163979
2016-01-28,146.9471435546875,149.1328484816364,146.02241385227163,147.9559314307742,2294327
2016-01-29,151.9070281982422,151.9070281982422,147.2834052364242,149.46912304025724,2922359
2016-02-01,149.97354125976562,152.57958895694713,149.55321181360324,152.32738872376234,2104561
2016-02-02,145.60208129882812,149.3850453715153,145.09769378559662,148.54438668869594,2522091
2016-02-03,143.92079162597656,146.69496837856556,142.9120035779722,145.6861803305612,2605203
2016-02-04,142.32351684570312,146.6949394087287,141.146586999259,146.19053907061928,3192171
2016-02-05,140.38999938964844,143.50043393638748,140.30592839077707,142.82790442771685,2798189
2016-02-08,126.6872787475586,140.47409078067506,126.18289116341045,139.8856193580159,4667861
2016-02-09,126.51912689208984,129.37736117263228,124.4174802659754,127.10758538191529,4671046
2016-02-10,130.3861846923828,131.31090167366213,126.35101989675545,127.35980788880347,3794018
2016-02-11,124.75373840332031,129.0411026449734,124.75373840332031,128.62077332039695,2933927
2016-02-12,127.69603729248047,128.03230843179296,125.67846176633499,126.51912037346766,2837638
2016-02-15,133.0762939453125,133.0762939453125,129.46145844910365,130.89057587948326,2354596
2016-02-16,130.89056396484375,134.67352831543135,130.55430559798754,134.3372699485751,2865204
2016-02-17,137.78396606445312,137.78396606445312,133.16034286997572,135.4301317910306,3162285
2016-02-18,137.6999053955078,139.71748125838047,136.18671708463606,139.38122289037986,2025105
2016-02-19,137.95208740234375,138.54054588249986,136.18669913444268,137.19548693291495,2836691
2016-02-22,140.30592346191406,140.8103237825561,138.54054799453286,139.38120664398096,2809576
2016-02-23,139.54934692382812,141.90319389525902,138.5405590296246,140.4740766428512,2219867
